TID (unique),KEYWORD(unique),TAG(Separate with comma),CATEGORY, PID(Separate with comma if more than one),QUESTION,ANSWER,Documentation link ,YouTube solution link,RSID
GCT52057,PERFORM_AN_EXAM_SPLIT_AFTER_SCAN,Exam,Exam,OPTIMA CT520,How to Perform an exam split after scan is complete?,"1. Complete an exam with multiple Requested Procedure ID or Accession Numbers have 
been selected.
2. Select the ImageWorks desktop.
3. Click on the exam you wish to split.
4. Select the series to split.
5. Click [Exam Split] from the side of the Browser.
 The Exam Split menu will appear with the selected images displayed in the upper 
viewports. The system may display every image or skip some images depending on 
the total number of images selected.
 If the exam you selected does not have Multiple Procedures, a dialog will be posted 
and Exam Split will exit. 
 You must select all procedures you wish to split up front when scanning is done. You 
cannot add them after the fact.
6. Select the images to be grouped together for a procedure.
 Click to select first image and shift and click on the last image for the desired range 
of images per procedure code. 
7. Select desired Requested Procedure ID or Accession Number from the available list 
which reflects the procedures selected from Patient Schedule for New Patient.
 This is from the list of exams registered to this patient from ConnectPro..
8. Select the receiving host from the Host Config pull down.
 Host Selection will show GSPS if configured in VES mode and HES if configured in HES 
mode.
9. Adjust the Window Level if needed.
 Set the window/level for the images using the mouse or W/L preference buttons.
10. Click [Add].  The images will be added to the procedure list.
11. Hilight the procedure or procedures you wish to send and click [Send].  Repeat until you have sent all procedures you have images added to. 
 The images are transferred to the desired host.
 If the system is configured for VES, a GSPS object is sent to the remote station. If HES 
mode is configured, a new series of images will be sent to the remote hosts.
 You can select more than one procedure if you are sending them to the same 
destination.
 You can select the Browser to exit Exam Split before the images have completed 
transferring. A pop up message will display after the transfer is complete.",,,
GCT52058,BIOPSY_MODE,Biopsy,Interface,OPTIMA CT520,How to use the Biopsy mode?,"1. From the view/edit screen, click [Biopsy Rx].
2. Set the Biopsy Reference.
3. Enter Biopsy Location or click [Get Alignment Light Location].
4. Enter the Number of Images to be acquired for each pass.
5. Enter Gantry Tilt, if necessary.
6. Click [Thickness].
7. Enter the Image Interval.
8. Click [Confirm Biopsy Rx] or [Cancel].",,,
GCT52059,ADD_A_FILTER,"Filter,Add",Image manage,OPTIMA CT520,How to Add filter to the available filter?,"1. From the display monitor, click the ImageWorks icon .
2. Select a remote host from the Source menu.
3. From the Patient List controls, click the Filter icon to open the Filter Data screen.
4. Enter all desired fields. In the Filter Name field, enter a descriptive name for the filter.
5. Click Save.
6. Click OK to save the filter.",,,
GCT52060,FILTER_THE_LIST,"List,Filter",Image manage,OPTIMA CT520,How to filter the list?,"1. From the display monitor, click the ImageWorks icon.
2. Select a remote host from the Source menu.
3. Select a filter from the Available Filters.
4. Click OK.",,,
GCT52061,REMOVE_A_PATIENT_LIST_FILTER,"Filter,LIst",Image manage,OPTIMA CT520,How to remove patient list filter?,"1. From the display monitor, click the ImageWorks icon .
2. From the Source menu, select a remote host.
3. From the Patient List controls, click the Filter icon to open the Filter Data screen.
4. From the Available filters menu, select a filter.
5. Click Remove.
6. Click Yes to remove the filter.",,,
GCT52062,UPDATE_PATIENT_LIST,"Patient,List",Image manage,OPTIMA CT520,How to Update the patient list?,"1. From the display monitor, click the ImageWorks icon .
2. From the Patient List controls, click the Refresh icon .",,,
GCT52063,FIND_AN_EXAM,Exam,Image manage,OPTIMA CT520,How to find an exam?,"1. From the display monitor, click the ImageWorks icon .
2. In the Exam area, click Find and select a category. For example, search an exam by 
Exam.
3. In the Find text box, type the exam number you want to locate. For example, 121.",,,
GCT52064,ZOOM_THE_IMAGES,Images,Image manage,OPTIMA CT520,How to zoom the images?,"1. From the display monitor, click the ImageWorks icon .
2. Click an image in the Image List area.
3. Adjust the zoom.",,,
GCT52065,SCROLL_THE_IMAGES,Images,Image manage,OPTIMA CT520,How to scroll the images?,"1. From the display monitor, click the ImageWorks icon .
2. Click an image in the Image List area.
3. Adjust the scroll.",,,
GCT52066,LOCAL_DB_RETRIEVE_IMAGES,Images,Image manage,OPTIMA CT520,How to Restore the images to our system from a remote host?,"1. From the display monitor, click the ImageWorks icon .
2. Click Source and select a remote Archive host.
3. Optional: Refine the remote Patient List.
4. From the remote Patient List, select the exam, series, or images you want to retrieve.
5. In the Destinations area of the Patient List, click Local DB to begin the restore process.
6. View the archive or network status in the Feature Status area to view the state of the 
images as they are transferred to the local database.",,,
GCT52067,ARCHIEVE_A_GSPS_SERIES,Images,Image manage,OPTIMA CT520,"How to archive or network a GSPS1 series when you have saved images with the 
Save State function.?","1. Press Ctrl and simultaneously select the source series and the associated GSPS series 
from the Patient List.
2. To archive or network, continue with the Manual archive/network procedure.",,,
GCT52068,VIEW_THE_BACKLOG,Images,Image manage,OPTIMA CT520,"How to  view a backlog of archive or network activity or to delete an archive or 
network job?","1. From the display monitor, click the ImageWorks icon .
2. Click the Job Management icon .
3. From the Job Management screen, click Show Jobs and select an option to refine the 
lists.
4. From the Registered Jobs list, select the jobs you would like to change.
5. Choose the desired job action:
6. Click Close.",,,
GCT52069,DETACH_MEDIA,"Images,CD,DVD",Image manage,OPTIMA CT520,"How to detach a CD, DVD, or USB media device?","1. Make sure a CD, DVD, or USB is inserted in the appropriate drive.
2. Check the Archive/Network backlog to verify that all image transfer from the device is 
complete.
3. From the display monitor, click the ImageWorks icon .
4. Click Tools > Detach Media.
5. From the Detach Media screen, select the media to detach from the menu.
6. Click Detach and wait for the ""Media Detached"" message before ejecting the device 
from the drive.
7. Click Close to exit.",,,
GCT52070,CHECK_NETWORK_HISTORY,Image,Image manage,OPTIMA CT520,How to Check the network history?,"1. From the display monitor, click the ImageWorks icon .
2. Click the Job Management icon .
3. From the Job Management screen, click the Network History tab.
4. Look through the log to find the exam number of the network history you wish to see.
5. Type a specific exam/series/image number into the Search ESI or Host field.
6. Click the Refresh icon to update the network history log.
7. Click Close.",,,
GCT52071,SAVE_IMAGES,Image,Image manage,OPTIMA CT520,How to  save images from your system to a CD/DVD or USB device?,"1. From the Data Apps list, click CD/DVD/USB.
2. From the Media Creator screen , select the media type from the Media menu.
3. To save a Viewer with the images, select Include Image Viewer.
4. Select the desired exams or series from the Patient List.
5. From the Media Creator screen, click Add.
6. Optional: Clear exams or series from the Media Creator list.
7. Click the Copy icon to start the recording process.
8. Once the recording is finished, click Close icon .
9. To view the Media Creator screen again, click CD/DVD/USB from the Data Apps list.
10. When the contents have been burned to the media, a message posts in the Message 
area. It is now safe to remove the CD/DVD or USB.
11. Click the Eject icon to remove the media from the drive.",,,
GCT52072,RESTORE_IMAGES,Image,Image manage,OPTIMA CT520,How to restore images from a CD/DVD or USB device to your system?,"1. Place a CD-R or DVD-R in the CD/DVD external drive or place a USB device into one of 
the USB drives. Wait until the drive light turns off, which is an indication that the CD-R 
or DVD-R is spinning up to speed.
2. From the display monitor, click the ImageWorks icon .
3. From the header area, click Source and select the drive that has the CD/DVD or USB 
device in it.
4. From the Patient List, select the exam/series/images you want to restore.
5. In the Destinations area of the Patient List, click Local DB to begin the restore process.
6. To view the restore process status, see the View the backlog/queue procedure.
7. When the restore process is finished, indicated by a messa",,,
GCT52073,VIEW_IMAGES_ON_PC,Image,Image manage,OPTIMA CT520,How to  view images from a CD/DVD inserted in your PC?,"1. Load a recorded CD-R or DVD-R into the drive of your PC or laptop running Windows 
XP, Windows Vista, or Windows 7 operating system and containing Java 1.5 or higher 
versions.
2. Click Accept to the license agreement.
3. From the DataSelector, select an exam and wait until the data is loaded.
4. Select a series to view.
5. Use the Media Viewer image controls, located at the top of the Media Viewer, to 
manipulate the images.",,,
GCT52074,COMPOSE_A_REPORT,Image,Image manage,OPTIMA CT520,How to compose a report?,"1. From the display monitor, click the ImageWorks icon .
2. From the Patient List, select the series you want to export.
3. From the Data Apps list, click Data Export.
4. Review the images in the Compose image viewport.
5. Click the Conversion Format menu and select an image format for the currently 
selected data set that is compatible with the movie player on your PC or laptop.
6. In the Image Range Selection area, choose your desired image range.
7. Move the Compression Factor slider to select a value.
8. In the Annotation area, choose your desired annotation display format.
9. Once you are satisfied with the image appearance (W/L, zoom, scroll), select 
Propagate Image Operations.
10. Type a name for both the report and the folder (use no spaces or characters other 
than alpha numeric).
11. Click Add to Report.
12. To add another data set to the report, repeat these steps.
13. Click the Export tab to export the report (for details see the Export a report procedure) 
or click Quit to exit the Data Export application.",,,
GCT52075,VIEW_A_REPORT_ON_PC,Image,Image manage,OPTIMA CT520,How to view a report on PC?,"1. Place the CD in the CD drive of a PC or laptop running Windows 2000 or XP.
2. The CD launches automatically.
3. When finished viewing the report, select File > Close to close the Internet browser.
4. Remove the CD from the drive and store it.",,,
GCT52076,EDIT_PATIENT_DATA,Image,Image manage,OPTIMA CT520,How to edit patient data?,"1. From the display monitor, click the ImageWorks icon.
2. From the Patient List, select the exam to be edited.
3. From the Data Apps list, click Edit Patient.
4. From the Edit Patient Applications screen, click Edit Patient Data.
5. Read the cautions and then, click Accept to continue.
6. From the Edit Patient Data screen, complete the text fields.
7. Click Accept when you are satisfied with the changes.
8. Click Accept to the confirmation prompt.",,,
GCT52077,REORDER_THE_DATA_APP_LIST,Image,Image manage,OPTIMA CT520,"How to change the order of the applications on the Data Apps list so that the 
most frequently used applications are at the top of the list?","1. From the display monitor, click the ImageWorks icon .
2. From the ImageWorks desktop , click Tools > Applications Reorder.
3. On the Application Selection screen, click the item that you want to move in Data Apps 
list.
4. Click the up/down arrows to move the item to the new location.
5. Once the items in each list are in the desired order, click OK.
6. Click OK to the acknowledgement prompt.",,,
GCT52078,EXPORT_PROTOCOLS,Image,Image manage,OPTIMA CT520,"How to  export user protocols to a CD so that you can load the CD on a PC and 
print. The format is excel?","1. From the display monitor, click ImageWorks icon.
2. From the Tool Chest screen, click Export Protocols.
3. The CD/DVD tray opens and the system prompts you to place a blank CD media in the 
CD/DVD drive.
4. Place a CD inserted in the tray.
5. Click OK to close the drive and initiate the save process.
– The User adult and pediatric protocols are saved.
6. The CD tray opens automatically when the save is complete. Remove the CD and click 
OK to the message prompt, which closes the tray.",,,
GCT52079,SET_SCREENSAVER_TIMEOUT,"Image,Screensaver",Image manage,OPTIMA CT520,"How to  set the time period for the scan and display monitor screen saver to
start?","1. From the display monitor, click the Service icon.
2. From the Service browser, click the Service browser title bar to move it so you can see 
the service Tool Chest.
3. From the Tool Chest, click Screensaver Time.
4. From the Set Screensaver Timeout screen, click and drag the slider to adjust the time 
that the screensaver mode starts to between 5 to 60 minutes.
– Click on either side of the slider grab bar to increment in steps of 1 minute.
– The default is 30 minutes.
5. Click Save.",,,
GCT52080,CHANGE_THE_ORIENTATION_OF_IMAGE,Image,Image manage,OPTIMA CT520,"How to flip an image left to right, top to bottom, or both at the same time. You 
can also rotate to the right or to the left 90 degrees?","1. Put the image of interest in primary focus.
2. Click [Routine Display].
3. Click [Flip/Rotate].
4. Click [FLR] to flip image left to right, click [FTB] to flip image top to bottom or click [FTB/FLR] to flip image both top to bottom and left to right.
5. Click [RR] to rotate image to the right (clockwise) or click [RL] to rotate image to the left 
(counter-clockwise).
6. Click [Cancel] to cancel out of flip/rotate pop up window.
7. Click [Display Normal] to return images to their original orientation.",,,
GCT52081,MAKE_IMAGES_SHARPER,Image,Image manage,OPTIMA CT520,How to make Images Sharper or Smoother?,"1. Put the image of interest in primary focus.
2. Click [Routine Display].
3. Click [Proview].
4. Click [E1, E2, E21, E22, E23, or E3] for edge enhancement.
5. Click [Lung] for lung enhancement.
6. Click [S1,S11, S2, S21, or S3] for smoothing.
7. Click [Off] to turn enhancement off.
8. Click [Cancel] to cancel out of Proview pop up window.",,,
GCT52082,IMPROVE_THE_BRAIN_INTERFACE,Image,Image manage,OPTIMA CT520,How to improve the Brain/Bone Interface?,"1. Put the image of interest in primary focus.
2. Click [Routine Display].
3. Click [GSE].
4. Click [G1, G2 or G3].
5. Click [Off] to turn enhancement off.
6. Click [Cancel] to cancel out of GSE pop up window.",,,
GCT52083,RESTORE_AN_IMAGE_TO_ITS_ORIGINAL_STATE,Image,Image manage,OPTIMA CT520,How to Restore an Image to its Original State?,"1. Put the image of interest in primary focus.
2. Click [Routine Display].
3. Click [Display Normal].",,,
GCT52084,REVERSE_THE_VIDEO,Video,Image manage,OPTIMA CT520,How to  Reverse the Video?,"1. Put the image of interest in primary focus.
2. Click [Display Preferences].
3. Click [Inverse Video].
4. Click [Inverse Video] again to turn feature off.",,,
GCT52085,APPLY_MATTES_TO_AN_IMAGE,Image,Image manage,OPTIMA CT520,How to Apply Mattes to an Image?,"1. Put the image of interest in primary focus.
2. On the Accelerator Line, type ematte for an elliptical matte or rmatte for a rectangular 
matte and click Enter.",,,
GCT52086,CREATE_A_GSPS,Image,Image manage,OPTIMA CT520,How to create GSPS?,"1. Put the image of interest in primary focus.
2. Adjust the image to the desired presentation.
a) Set WW and WL
b) Image Roam
c) Image Zoom
d) Image Flip
e) Set rotate
f) Add graphics such as ROI, Measure distance and Image annotation
3. On the Accelerator Line, type ss and click Enter.",,,
GCT52087,VIEW_A_GSPS,Image,Image manage,OPTIMA CT520,How to  View a Gray Scale Presentation State Object (GSPS)?,"1. Hilight the GSPS object in the Browser
2. Select [Viewer].
3. Use the pull down to change the viewer format.
4. Select the ± CPI object buttons to view additional GSPS objects in the series.",,,
GCT52088,NEURO_3D_IMAGES,Image,Image manage,OPTIMA CT520,How to Process Neuro 3D Images?,"1. Click [Neuro 3D].
2. Click [Low], [Med], or [High].
3. Click [Go].
4. Click the door icon to close the window when the filtering is complete.",,,
GCT52089,TYPE_TEXT_ON_THE_IMAGE,Text,Image manage,OPTIMA CT520,How to Type Text on the Image?,"1. Put the image that you want to type annotation on into primary focus.
2. Click [Routine Display].
3. Click [User Annotation].
4. Place mouse cursor over the image you are typing text onto.
5. Type the desired text and it appears in the blue box.
6. Adjust the box and attached arrow as needed.
7. Click [User Annotation] again to add additional annotation.
8. Click [Erase] to erase the primary (blue) annotation.",,,
GCT52090,DISPLAY_THE_EXAM_INFORMATION,"Test,Exam",Image manage,OPTIMA CT520,How to Display the Exam Information?,"1. Click [Routine Display].
2. Click [Exam Page].
3. Click [Manual Film] or [Auto Film] to select the film composer you would like the exam 
page to go to.
4. Click [Quit].",,,
GCT52091,SAVE_AN_IMAGE_SCREEN,"Screen,Image",Image manage,OPTIMA CT520,How to Save an Image Screen?,"1. Click [Routine Display].
2. Click [Screen Save].",,,
GLOGIQ492,MONITOR_ASSY,"Assy,Disassembly",Renewal Parts,LOGIQ 400,How to Monitor Assy Disassembly?,"1. Turn OFF the system.
2. Remove the CRT Filter. Refer to 6–2–6 on page 6–79.
3. Unscrew four hexagonal screws ( 1 – 4 ) located beneath the horizontal part of the Neck Assy.
4. Remove the cover located at the bottom of the Neck Assy.
5. Unscrew two screws ( 5 and 6 ) and remove the plate fixing the cables.
6. Disconnect the four connectors ( 7 – 10 ).
7. Remove the screw cap located at position ( 11 ).
8. Loosen one screw ( 11 ) and pull the Monitor Assy upwards.",,,
GLOGIQ493,MONITOR_COVER_SET,"Assy,Disassembly",Renewal Parts,LOGIQ 400,How to Monitor cover set Disassembly?,"1. Turn OFF the system.
2. Unscrew three screws ( 1 – 3 ).
3. Remove the Monitor Cover L Assy (FRU 104).
4. Unscrew three screws ( 4 – 6 ).
5. Remove the Monitor Cover R Assy (FRU 105).
6. Remove the Monitor Cover Top Assy (FRU 106).
7. Push and open the Escutcheon Front Door (FRU 107).
8. Pull the two caps ( 7 , FRU 108: CRT Cap Set) out.
9. Loosen four screws ( 8 – 11 ).
10. Disconnect one connector of task lamp switch.
11. Remove the Escutcheon Assy (FRU 102).",,,
GLOGIQ494,ESCUTUHEON_FRONT_DOOR,Disassembly,Renewal Parts,LOGIQ 400,How to Escutcheon Front Door removal?,"1. Turn OFF the system.
2. Pull out the Escutcheon Front Door (FRU 107) from the Escutcheon Assy (FRU 102)",,,
GLOGIQ495,CRT_CAP_SET,Disassembly,Renewal Parts,LOGIQ 400,How to CRT Cap set removal?,"1. Turn OFF the system.
2. Remove the Escutcheon Front Door (FRU 107). 
3. Pull out two CRT Caps from the front side of the Monitor Assy.",,,
GLOGIQ496,CRT_FILTER_REMOVAL,Disassembly,Renewal Parts,LOGIQ 400,How to CRT filter Removal?,"1. Turn OFF the system.
2. Slide the left side filter clamp leftwards and pull it out.
3. Slide the right side filter clamp rightwards and pull it out.
4. Remove the CRT Filter.",,,
GLOGIQ497,ACCESSORY_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to Accessory Assy Disassembly?,"1. Turn OFF the system.
2. Remove the Monitor Cover Set (FRU 101). 
3. Unscrew five screws ( 1 – 5 ).
4. Disconnect two connectors ( 6 and 7 ).
5. Remove the Accessory Assy.",,,
GLOGIQ498,SPEAKER_ASSY_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to Speaker assy Disassembly?,"1. Turn OFF the system.
2. Remove the Monitor Cover L Assy (FRU 104) and Monitor Cover R Assy (FRU 105). Refer to 6–2–2 on page
6–72.
3. Cut off the tie wrap fixing the CRT Cable Set (FRU 116) to the speaker.
4. Unscrew two screws ( 1 and 2 ).
5. Loosen two screws ( 3 and 4 ).
6. Disconnect one connector ( 5 ) from the back side of monitor.
7. Remove the speaker at the left.
8. Unscrew two screws ( 6 and 7 ).
9. Loosen two screws ( 8 and 9 ).
10. Disconnect one connector ( 10 ) from the back side of monitor.
11. Remove the speaker at the right.",,,
GLOGIQ499,CRT_LAMP_ASSY_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to CRT lamp assy Disassembly?,"1. Turn OFF the system.
2. Remove the Monitor Cover L Assy (FRU 104) and Monitor Cover R Assy (FRU 105). Refer to 6–2–2 on page
6–72.
3. Turn the CRT lamp counterclockwise and remove it.
4. Unscrew two screws ( 1 and 2 ).
5. Disconnect one connector ( 3 ).
6. Remove the CRT Lamp Assy.",,,
GLOGIQ4100,CRT_ASSY_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to CRT Assy Disassembly?,"1. Turn OFF the system.
2. Remove the Monitor Assy (FRU 100). Refer to 6–2–1 on page 6–70.
3. Remove the Monitor Cover Set ( 1 : FRU 101). Refer to 6–2–2 on page 6–72.
4. Remove the Speaker Assy ( 2 : FRU 112). Refer to 6–2–8 on page 6–82.
5. Remove the tilt mechanism.",,,
GLOGIQ4101,MONITOR_ASSY_NTSC_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to Monitor Assy NTSC Disassembly?,"1. Turn OFF the system.
2. Unscrew four hexagonal screws ( 1 – 4 ) located beneath the horizontal part of the Neck Assy.
3. Remove the cover located at the bottom of the Neck Assy.
4. Unscrew two screws ( 5 and 6 ) and remove the plate fixing the cables.
5. Disconnect the three connectors ( 7 – 9 ).
6. Remove two screw caps located at position ( 10 and 11 ).
7. Loosen two screws ( 10 and 11 ) and pull the Monitor Assy upwards.",,,
GLOGIQ4102,MONITOR_COVER_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to Monitor Cover Disassembly?,"1. Turn OFF the system.
2. Remove the Monitor Bottom Assy. Refer to 6–2–17 on page 6–98.
3. Unscrew four screws ( 1 – 4 ).
4. Remove the Monitor Cover (FRU 152).",,,
GLOGIQ4103,NECK_ASSY_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to Neck Assy Disassembly?,"1. Turn OFF the system and unplug the unit.
2. Push down the Up/Down Release Button located on the Neck Assy, lift the monitor up and set the monitor to the
highest position.
3. Remove the Monitor Assy (FRU No. 100), Monitor Assy NTSC (FRU No. 150) or Monitor Assy PAL (FRU No.
151). Refer to 6–2–1 on page 6–70 or 6–2–12 on page 6–90.
4. Remove the Neck Space Plate.
5. Remove the Front Base Cover (FRU 305). Refer to 6–2–35 on page 6–131.
6. Remove the Side Cover Right (FRU 302). Refer to 6–2–32 on page 6–128.. 
7. Remove the Side Cover Left (FRU 301). Refer to 6–2–31 on page 6–127.
8. Remove the Rear Cover (FRU 303). Refer to 6–2–33 on page 6–129.
9. Remove the Top Cover (FRU 308). Refer to 6–2–38 on page 6–135.
10. Remove the Rear CONN Panel Assy (FRU 501). Refer to 6–2–61 on page 6–166.
11. Disconnect one connector ( 1 ).
12. Disconnect two connectors ( 2 and 3 ) from the P25A and P26A connectors on Mother Board.
13. Disconnect one flat cable ( 4 ).
14. Cut off the tie wraps to bind cables.
15. Remove thirteen hexagonal bolts ( 5 – 17 ).
16. Remove the Neck Assy from console.",,,
GLOGIQ4104,NECK_SPACE_PLATE,Disassembly,Renewal Parts,LOGIQ 400,How to Disassembly Neck Space Plate?,"1. Turn OFF the system.
2. Remove the Monitor Assy (FRU No. 100), Monitor Assy NTSC (FRU No. 150) or Monitor Assy PAL (FRU No.
151). Refer to 6–2–1 on page 6–70 or 6–2–12 on page 6–90.
3. Remove the Neck Space Plate 2. Refer to 6–2–29 on page 6–122. The Neck Space Plate 2 is used only for the
B/W monitor console. In case of color monitor console, skip this step.
4. Remove the Rotation Spacer. Refer to 6–2–30 on page 6–124. The Rotation Spacer is used only for the B/W
monitor console. In case of color monitor console, skip this step.
5. Remove the Neck Space Plate.",,,
GLOGIQ4105,ROTATION_SPACER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Rotation spacer?,"1. Turn OFF the system.
2. Remove the Monitor Assy NTSC (FRU No. 150) or Monitor Assy PAL (FRU No. 151). Refer to 6–2–12 on page
6–90.
3. Unscrew one screw ( 1 ).
4. Remove the Rotation Spacer.",,,
GLOGIQ4106,SIDE_COVER_LEFT,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Side Cover left?,"1. Turn OFF the system.
2. Remove two screw caps (located at 3 and 4 ) and unscrew four screws ( 1 – 4 ).
3. Remove the Side Cover Left.",,,
GLOGIQ4107,SIDE_COVER_RIGHT,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Side cover Right?,"1. Turn OFF the system.
2. Remove the Front Base Cover (FRU No. 305). Refer to 6–2–35 on page 6–131.
3. Remove the two screw caps (located at 3 and 4 ) and unscrew five screws ( 1 – 55
).
4. Remove the Rear Door Assy. Refer to 6–2–34 on page 6–130.
5. Remove the Side Cover Right.",,,
GLOGIQ4108,REAR_COVER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Rear Cover?,"1. Turn OFF the system.
2. Pull the Air Filter out.
3. Remove the Rear Door Assy. Refer to 6–2–34 on page 6–130.
4. Unscrew eight screws ( 1 – 8 ).
5. Remove the Rear Cover.",,,
GLOGIQ4109,REAR_DOOR_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble rear door assy?,"1. Turn OFF the system.
2. Turn the knob on the Rear Door Assy counterclockwise.
3. Remove the Rear Door Assy.",,,
GLOGIQ4110,KEYBOARD_BOTTOM_COVER_DISASSEMBLE,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Keyboard Bottom cover?,"1. Turn OFF the system.
2. Remove the Front Base Cover (FRU 305). Refer to 6–2–35 on page 6–131.
3. Remove the Front Cover (FRU 306). Refer to 6–2–36 on page 6–132.
4. Remove the Side Cover Right (FRU 302). Refer to 6–2–32 on page 6–128.
5. Unscrew six screws ( 1 – 6 ).
6. Remove the Keyboard Bottom Cover.",,,
GLOGIQ4111,TRACK_BALL,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Trackball?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy. Refer to 6–2–49 on page 6–147.
3. Unscrew four screws ( 1 – 4 ).
4. Disconnect one connector ( 5 ).
5. Unscrew four screws ( 6 – 9 ).
6. Remove The Holding Metal Plate.",,,
GLOGIQ4112,GAIN_ENCODER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Gain Encoder?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy. Refer to 6–2–49 on page 6–147.
3. Unscrew four screws ( 1 – 4 ).
4. Disconnect the gain encoder connector ( 5 ).",,,
GLOGIQ4113,KEYBOARD_KNOBE_SET,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Keyboard knobe set?,"1. Turn OFF the system.
2. Loosen two hexagonal bolts for each encoder knob.
3. Remove six Encoder Knobs ( 1 – 6 ).
4. Pull the eight TGC Pot Knobs ( 7 ) out",,,
GLOGIQ4114,TGC_DISASSEMBLY,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble TGC?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy. Refer to ILLUSTRATION 6–77 on page 6–155.
3. Unscrew four screws ( 1 – 4 ).
4. Disconnect one connector ( 5 ).",,,
GLOGIQ4115,ROTARY_ENCODER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Rotary Encoder?,"1. Turn OFF the system.
2. Remove the Keyboard Panel Assy. Refer to ILLUSTRATION 6–77 on page 6–155.
3. Unscrew four screws ( 1 – 2 ).
4. Disconnect the gain encoder connector ( 3 ).",,,
GLOGIQ4116,REAR_CONN_SPACER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Rear conn spacer?,"1. Turn OFF the system.
2. Remove the Rear Door Assy (FRU 304). Refer to 6–2–34 on page 6–130.
3. Remove the Rear Cover Assy (FRU 303). Refer to 6–2–33 on page 6–129.",,,
GLOGIQ4117,CIRCUIT_PROTECTER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble circuit Protector?,"1. Turn OFF the system.
2. Remove the Rear CONN Panel Assy (FRU 501). Refer to 6–2–61 on page 6–166.
3. Remove the soldered cord ( 1 and 2 ).
4. Remove the Circuit Protector toward the direction indicated by the arrow.",,,
GLOGIQ4118,NEST_FAN_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Nest Fan Assy?,"1. Turn OFF the system.
2. Remove the Side Cover Left (FRU 301). Refer to 6–2–31 on page 6–127.
3. Disconnect two connectors ( 1 and 2 ).
4. Unscrew two screws ( 3 and 4 ).
5. Pull out the Nest Fan Assy leftwards.",,,
GLOGIQ4119,CONNECTOR_COVER,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Connector cover?,"1. Turn OFF the system.
2. Unscrew four screws ( 1 – 4 ).
3. Remove the Connector Cover.",,,
GLOGIQ4120,SHIELD_FINGER_LONG,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble Shield Finger long?,"1. Turn OFF the system.
2. Remove the Front Cover (FRU 306). Refer to 6–2–36 on page 6–132.
3. Unscrew eight screws ( 1 – 8 ).
4. Remove the connector frame.
5. Remove the Shield Finger Long (FRU 515) or Shield Finger Short (FRU 516).",,,
GLOGIQ4121,PROBE CONN 1 ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble conn 1?,"1. Turn OFF the system.
2. Remove the Probe CONN Set Assy (FRU 512/513). Refer to 6–2–68 on page 6–176.
3. Remove the PRAG Assy (FRU 519). Refer to 6–2–72 on page 6–182.
4. Unscrew eight screws ( 1 – 8 ).
5. Remove the connector frame.
6. Unscrew twelve screws ( 9 – 20 ).
7. Unscrew three screws (21 – 23 ).
8. Unscrew two studs (24 and 25 ).
9. Remove the Probe CONN 1 Assy or DCON Assy.",,,
GLOGIQ4122,PRAG_ASSY,Disassembly,Renewal Parts,LOGIQ 400,How to Disassemble PRAG Assy?,"1. Turn OFF the system.
2. Remove the Probe CONN Set Assy (FRU 512/513). Refer to 6–2–68 on page 6–176.
3. Unscrew seven screws ( 1 – 7 ).
4. Unscrew three screws ( 8 – 10 ) to remove the metal bracket.
5. Disconnect two connectors ( 11 and 12 ).
6. Remove the PRAG Assy.",,,
